일자,종합지수,전일비,,등락률,거래대금,개인,외국인,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인
2025/04/09,"2,293.70",▼,"-40.53","-1.74%","95,603","+9,413","-10,091","-748","+345","-112","-443","+81","-77","+579","-1,120","0","+1,369"
2025/04/08,"2,334.23",▲,"6.03","+0.26%","91,224","+6,062","-6,485","-1,023","-3,801","+57","+875","+49","-33","+1,132","+698","0","+1,393"
2025/04/07,"2,328.20",▼,"-137.22","-5.57%","105,054","+17,595","-21,710","+2,404","-1,114","-349","-109","+142","-67","+4,338","-437","0","+1,673"
2025/04/04,"2,465.42",▼,"-21.28","-0.86%","107,428","+11,072","-18,104","+6,112","+3,479","-41","+635","+15","-9","+2,067","-34","0","+879"
2025/04/03,"2,486.70",▼,"-19.16","-0.76%","82,674","+8,005","-13,792","+4,613","+692","+175","+930","+22","-115","+2,723","+185","0","+1,135"
2025/04/02,"2,505.86",▼,"-15.53","-0.62%","73,161","+4,802","-7,296","+1,493","-202","-30","+143","+33","-30","+1,736","-159","0","+973"
2025/04/01,"2,521.39",▲,"40.27","+1.62%","69,394","+861","-3,914","+1,796","-76","+180","+285","+137","+8","+774","+487","0","+1,251"
2025/03/31,"2,481.12",▼,"-76.86","-3.00%","82,363","+7,920","-15,793","+6,624","+5,509","+145","-108","+436","-21","+607","+57","0","+1,212"
2025/03/28,"2,557.98",▼,"-49.17","-1.89%","71,504","+5,416","-6,425","+15","+228","-57","+9","0","-50","+401","-515","0","+983"
2025/03/27,"2,607.15",▼,"-36.79","-1.39%","76,762","+1,166","+887","-3,154","-1,173","-65","-891","+230","-222","-254","-778","0","+1,101"
2025/03/26,"2,643.94",▲,"28.13","+1.08%","76,553","-6,819","+3,499","+2,593","+2,401","-12","-72","+287","-124","+155","-43","0","+716"
2025/03/25,"2,615.81",▼,"-16.26","-0.62%","83,050","-669","-735","+706","+1,302","-66","-78","+200","-23","-196","-433","0","+729"
2025/03/24,"2,632.07",▼,"-11.06","-0.42%","69,240","-727","+61","-282","+85","-123","-538","+267","-35","+50","+12","0","+937"
2025/03/21,"2,643.13",▲,"6.03","+0.23%","141,881","-5,382","+8,503","-4,020","-3,423","-169","-370","+242","+52","+134","-487","0","+925"
2025/03/20,"2,637.10",▲,"8.48","+0.32%","119,892","-7,012","+5,515","+664","+1,242","-76","-381","+162","+12","-30","-264","0","+861"
2025/03/19,"2,628.62",▲,"16.28","+0.62%","118,414","-6,745","+3,052","+2,873","+2,706","+106","-72","+63","-20","+230","-140","0","+844"
2025/03/18,"2,612.34",▲,"1.65","+0.06%","120,345","-6,132","+4,437","+951","+1,342","-46","-236","+32","-27","+342","-455","0","+774"
2025/03/17,"2,610.69",▲,"44.33","+1.73%","119,950","-11,793","+6,223","+4,948","+5,013","-158","-101","+67","+10","+289","-172","0","+694"
2025/03/14,"2,566.36",▼,"-7.28","-0.28%","99,418","+2,078","-2,954","-205","+501","-390","-539","+20","-4","+561","-354","0","+1,021"
2025/03/13,"2,573.64",▼,"-1.18","-0.05%","131,129","-737","-4,809","+4,448","+2,938","+471","+1,474","+109","+27","-466","-105","0","+1,093"
2025/03/12,"2,574.82",▲,"37.22","+1.47%","122,847","-5,050","+3,796","+318","+388","-22","+80","+85","+48","-307","+45","0","+941"
2025/03/11,"2,537.60",▼,"-32.79","-1.28%","109,175","+4,929","-15,403","-2,381","-1,740","+120","-224","+68","+6","-269","-340","0","+12,825"
2025/03/10,"2,570.39",▲,"6.91","+0.27%","98,813","+2,093","-4,292","+1,427","+746","-70","-55","+89","-8","+461","+263","0","+722"
2025/03/07,"2,563.48",▼,"-12.68","-0.49%","121,551","-1,941","+591","+281","-1,359","+159","+234","+89","+46","+463","+649","0","+1,067"
2025/03/06,"2,576.16",▲,"18.03","+0.70%","113,196","-3,696","+1,375","+1,563","+695","+65","+352","+97","+30","-6","+329","0","+750"
2025/03/05,"2,558.13",▲,"29.21","+1.16%","130,216","+909","-2,265","+480","-2,100","+254","+977","+100","+34","+709","+507","0","+845"
2025/03/04,"2,528.92",▼,"-3.86","-0.15%","131,153","+2,039","-1,945","-1,468","-2,628","+175","+7","+71","+93","+515","+298","0","+1,326"
2025/02/28,"2,532.78",▼,"-88.97","-3.39%","156,372","+20,324","-15,562","-6,166","-5,185","+167","-833","+52","+55","+59","-482","0","+1,367"
2025/02/27,"2,621.75",▼,"-19.34","-0.73%","108,021","+4,810","-1,786","-3,390","-3,431","+2","+200","+75","+27","+459","-722","0","+333"
2025/02/26,"2,641.09",▲,"10.80","+0.41%","112,187","-201","-3,221","+2,405","+1,742","-7","-36","+89","-57","+574","+99","0","+1,025"
2025/02/25,"2,630.29",▼,"-14.98","-0.57%","105,084","+3,121","-3,206","-945","-921","+114","-391","+93","+21","+138","+1","0","+1,013"
2025/02/24,"2,645.27",▼,"-9.31","-0.35%","108,020","+1,929","-2,001","-925","-919","-37","-73","+81","-11","+178","-144","0","+1,036"
2025/02/21,"2,654.58",▲,"0.52","+0.02%","113,810","+28","-2,163","+1,181","+610","-51","-86","+66","+39","+743","-140","0","+972"
2025/02/20,"2,654.06",▼,"-17.46","-0.65%","145,511","+2,907","-2,884","-1,079","-90","-341","-814","+82","-27","+808","-697","0","+1,076"
2025/02/19,"2,671.52",▲,"44.71","+1.70%","148,516","-12,186","+3,956","+7,767","+6,598","-345","+646","+217","+30","+677","-56","0","+491"
2025/02/18,"2,626.81",▲,"16.39","+0.63%","126,182","-1,884","+189","+1,649","+1,002","-170","-181","+206","-16","+1,210","-402","0","+50"
2025/02/17,"2,610.42",▲,"19.37","+0.75%","110,173","-336","-2,235","+2,431","+2,635","-129","-378","+160","+10","+828","-694","0","+133"
2025/02/14,"2,591.05",▲,"7.88","+0.31%","139,176","-652","-3,204","+3,661","+2,718","-223","-596","+150","+23","+1,760","-170","0","+209"
2025/02/13,"2,583.17",▲,"34.78","+1.36%","171,041","-6,096","-1,134","+6,730","+3,713","+598","+657","+126","+75","+683","+878","0","+505"
2025/02/12,"2,548.39",▲,"9.34","+0.37%","136,689","-1,982","+3,706","-2,217","+526","-2,774","-291","+179","+4","+102","+36","0","+470"
2025/02/11,"2,539.05",▲,"17.78","+0.71%","110,231","-4,694","+1,408","+2,437","+1,904","-210","-339","+184","+51","+587","+261","0","+856"
2025/02/10,"2,521.27",▼,"-0.65","-0.03%","105,824","-700","-2,770","+2,627","+1,827","-802","-353","+212","+51","+1,848","-156","0","+860"
2025/02/07,"2,521.92",▼,"-14.83","-0.58%","102,401","+3,302","-2,400","-2,098","-1,796","-103","-618","+190","+50","+1,224","-1,045","0","+1,186"
2025/02/06,"2,536.75",▲,"27.48","+1.10%","118,630","-6,060","+3,556","+1,612","+1,404","-192","-148","+112","+81","+471","-116","0","+932"
2025/02/05,"2,509.27",▲,"27.58","+1.11%","99,495","-1,929","+656","+312","+276","-42","-207","-50","+3","+908","-576","0","+972"
2025/02/04,"2,481.69",▲,"27.74","+1.13%","110,009","-2,932","+772","+1,231","+116","-22","-549","+68","+18","+1,387","+213","0","+902"
2025/02/03,"2,453.95",▼,"-63.42","-2.52%","116,499","+11,220","-8,707","-3,704","-4,506","+43","-511","+28","+77","+2,097","-932","0","+1,173"
2025/01/31,"2,517.37",▼,"-19.43","-0.77%","137,594","+9,620","-11,756","+2,859","+2,977","-116","+85","-169","+70","+355","-341","0","-801"
2025/01/24,"2,536.80",▲,"21.31","+0.85%","101,792","-3,830","+2,734","+436","-157","+53","+53","+73","+52","+651","-287","0","+642"
2025/01/23,"2,515.49",▼,"-31.57","-1.24%","99,078","+7,596","-6,196","-2,032","-2,447","-52","-665","-12","+37","+1,504","-397","0","+610"
2025/01/22,"2,547.06",▲,"29.03","+1.15%","110,745","-8,232","+3,507","+4,209","+2,949","-193","+140","+45","+101","+881","+287","0","+524"
2025/01/21,"2,518.03",▼,"-2.02","-0.08%","93,235","+534","-1,729","+625","+551","+99","-329","-39","+50","+588","-296","0","+577"
2025/01/20,"2,520.05",▼,"-3.50","-0.14%","86,635","+2,767","-4,185","+663","+403","-81","-230","-3","+42","+736","-204","0","+731"
2025/01/17,"2,523.55",▼,"-3.94","-0.16%","100,118","+2,864","-2,338","-1,006","-1,193","-188","-413","-32","+42","+1,314","-537","0","+473"
2025/01/16,"2,527.49",▲,"30.68","+1.23%","94,322","-5,757","+6,263","+189","+221","-37","-308","-28","+49","+757","-464","0","-677"
2025/01/15,"2,496.81",▼,"-0.59","-0.02%","91,762","+1,231","+568","-2,590","-2,097","-1","-260","+21","+36","+386","-676","0","+798"
2025/01/14,"2,497.40",▲,"7.84","+0.31%","81,992","+2,992","-2,965","-580","-535","-200","-208","-16","+25","+570","-215","0","+534"
2025/01/13,"2,489.56",▼,"-26.22","-1.04%","90,490","+7,486","-8,743","+260","-993","-82","-144","-25","+52","+2,593","-1,143","0","+972"
2025/01/10,"2,515.78",▼,"-6.12","-0.24%","96,910","+3,381","-38","-3,975","-4,848","-259","-639","-2","+16","+2,643","-888","0","+610"
2025/01/09,"2,521.90",▲,"0.85","+0.03%","115,244","-3,270","+7,510","-5,056","-5,320","+249","+875","-18","+90","+253","-1,185","0","+844"
2025/01/08,"2,521.05",▲,"28.95","+1.16%","103,910","-3,855","+2,220","+1,097","-1,097","+48","+510","+18","+30","+1,385","+204","0","+550"
2025/01/07,"2,492.10",▲,"3.46","+0.14%","94,059","-2,049","+1,629","-422","-1,495","-108","-52","+4","+33","+969","+227","0","+885"
2025/01/06,"2,488.64",▲,"46.72","+1.91%","81,423","-5,370","+3,705","+654","-307","+42","+196","+19","-9","+400","+313","0","+1,054"
2025/01/03,"2,441.92",▲,"42.98","+1.79%","82,300","-6,985","+2,843","+3,204","+2,720","-2","+46","+36","-1","+410","-5","0","+979"
2025/01/02,"2,398.94",▼,"-0.55","-0.02%","69,586","+4,143","-2,382","-2,588","-2,676","-21","+98","+3","+8","+92","-91","0","+834"
2024/12/30,"2,399.49",▼,"-5.28","-0.22%","53,154","-306","-1,207","+556","+309","+42","+37","+38","-218","+185","+162","0","+954"
2024/12/27,"2,404.77",▼,"-24.90","-1.02%","63,396","+2,256","-1,739","-1,158","-1,671","-182","+228","-27","-224","+823","-105","0","+619"
2024/12/26,"2,429.67",▼,"-10.85","-0.44%","64,104","-3,242","+204","+1,859","+2,063","+54","-10","+195","-12","-68","-363","0","+1,186"
2024/12/24,"2,440.52",▼,"-1.49","-0.06%","67,407","-1,069","-62","+239","+1,493","+186","-910","+168","-36","-247","-415","0","+896"
2024/12/23,"2,442.01",▲,"37.86","+1.57%","73,755","-6,836","+1,448","+4,352","+3,919","-82","-398","+124","-18","+770","+38","0","+1,036"
2024/12/20,"2,404.15",▼,"-31.78","-1.30%","93,473","+7,890","-8,224","-883","-1,949","-127","-253","+20","-209","+1,870","-237","0","+1,174"
2024/12/19,"2,435.93",▼,"-48.50","-1.95%","84,437","+8,024","-4,338","-5,099","-5,591","-41","-305","+22","-224","+1,366","-327","0","+1,363"
2024/12/18,"2,484.43",▲,"27.62","+1.12%","83,385","-4,684","+3,924","+1,340","+853","+35","-174","+126","-359","+1,003","-145","0","-577"
2024/12/17,"2,456.81",▼,"-32.16","-1.29%","92,848","+4,647","-7,020","+1,566","+479","+6","-148","+127","-108","+1,415","-206","0","+799"
2024/12/16,"2,488.97",▼,"-5.49","-0.22%","84,664","+3,668","-4,339","+1","-602","-216","-544","+125","+46","+1,423","-231","0","+652"
2024/12/13,"2,494.46",▲,"12.34","+0.50%","88,494","-821","-1,739","+1,399","-1,471","+168","-145","+304","+65","+2,608","-131","0","+1,169"
2024/12/12,"2,482.12",▲,"39.61","+1.62%","122,591","-2,520","-209","+1,563","-5,315","+927","+1,684","+406","+62","+3,878","-78","0","+1,183"
2024/12/11,"2,442.51",▲,"24.67","+1.02%","77,458","-1,227","-1,376","+1,765","+1,709","+11","+92","+223","+14","-268","-17","0","+875"
2024/12/10,"2,417.84",▲,"57.26","+2.43%","93,038","-4,210","-1,047","+4,596","+3,645","+2","+115","+351","-21","+203","+300","0","+681"
2024/12/09,"2,360.58",▼,"-67.58","-2.78%","100,045","-8,909","+1,027","+6,916","+4,901","-88","-330","+156","-53","+2,283","+47","0","+944"
2024/12/06,"2,428.16",▼,"-13.69","-0.56%","107,268","-5,816","-2,841","+8,255","+4,705","+18","-27","+227","-94","+3,445","-19","0","+403"
2024/12/05,"2,441.85",▼,"-22.15","-0.90%","97,207","+1,637","-3,174","+563","-47","-115","-585","-3","-71","+1,575","-191","0","+966"
2024/12/04,"2,464.00",▼,"-36.10","-1.44%","132,969","+3,398","-4,071","+164","+244","-202","-774","+28","-102","+1,120","-149","0","+519"
2024/12/03,"2,500.10",▲,"45.62","+1.86%","91,451","-8,338","+5,655","+2,796","+2,440","+13","-40","+77","+16","-3","+293","0","-103"
2024/12/02,"2,454.48",▼,"-1.43","-0.06%","75,917","-3,200","-1,309","+3,891","+4,270","-171","-207","+264","-39","-81","-144","0","+610"
2024/11/29,"2,455.91",▼,"-48.76","-1.95%","91,064","+5,882","-7,494","+509","+994","-44","-401","+154","-40","+102","-254","0","+1,092"
2024/11/28,"2,504.67",▲,"1.61","+0.06%","75,727","+798","-4,919","+3,105","+2,809","-44","-322","-116","+14","+857","-93","0","+1,011"
2024/11/27,"2,503.06",▼,"-17.30","-0.69%","85,860","-330","-3,349","+3,004","+1,430","-153","-663","+69","-23","+2,012","+332","0","+670"
2024/11/26,"2,520.36",▼,"-13.98","-0.55%","87,099","+1,862","-690","-2,375","-2,330","-34","-761","+37","-22","+720","+16","0","+1,188"
2024/11/25,"2,534.34",▲,"33.10","+1.32%","134,952","-4,515","-747","+4,531","+4,357","+211","-117","+76","-175","+545","-366","0","+751"
2024/11/22,"2,501.24",▲,"20.61","+0.83%","80,171","-5,332","+1,175","+3,227","+1,715","+58","+492","+34","+44","+826","+57","0","+944"
2024/11/21,"2,480.63",▼,"-1.66","-0.07%","83,564","-1,253","-2,593","+2,970","-2","-80","+144","+71","-8","+3,007","-163","0","+884"
2024/11/20,"2,482.29",▲,"10.34","+0.42%","78,200","-910","-1,823","+1,736","-322","+69","+241","+41","-4","+1,810","-100","0","+1,010"
2024/11/19,"2,471.95",▲,"2.88","+0.12%","90,858","-1,691","-3,300","+4,581","+1,204","+137","+280","+56","-114","+3,195","-176","0","+414"
2024/11/18,"2,469.07",▲,"52.21","+2.16%","106,213","+53","-530","-171","-730","+28","+149","-122","-10","+438","+76","0","+621"
2024/11/15,"2,416.86",▼,"-2.00","-0.08%","123,657","+379","-595","-302","-964","+90","+71","-24","-298","+1,038","-216","0","+537"
2024/11/14,"2,418.86",▲,"1.78","+0.07%","130,173","-1,142","-2,333","+2,817","-320","+345","+969","+84","-287","+1,777","+250","0","+640"
2024/11/13,"2,417.08",▼,"-65.49","-2.64%","112,083","+6,512","-6,308","-637","+705","-3","-331","-159","-563","+258","-543","0","+412"
2024/11/12,"2,482.57",▼,"-49.09","-1.94%","128,480","+3,309","-3,064","-318","-264","-75","-877","+9","-313","+1,648","-447","0","+105"
2024/11/11,"2,531.66",▼,"-29.49","-1.15%","112,901","+6,764","-4,817","-2,380","-2,207","-98","-176","0","-393","+719","-225","0","+436"
2024/11/08,"2,561.15",▼,"-3.48","-0.14%","99,212","-1,118","-132","+1,175","+1,939","-106","-478","+137","-38","-64","-214","0","+74"
2024/11/07,"2,564.63",▲,"1.12","+0.04%","108,097","-2,376","+1,046","+1,098","-554","-57","+50","+81","+28","+1,789","-239","0","+203"
2024/11/06,"2,563.51",▼,"-13.37","-0.52%","117,918","+17","-1,031","+520","-438","-118","-90","+171","+76","+763","+155","0","+490"
2024/11/05,"2,576.88",▼,"-12.09","-0.47%","77,160","+3,883","-1,444","-2,856","-2,021","-197","-448","+224","-55","-289","-71","0","+409"
2024/11/04,"2,588.97",▲,"46.61","+1.83%","80,647","-3,838","+297","+3,417","+1,838","+199","+50","+183","-27","+1,024","+150","0","+137"
2024/11/01,"2,542.36",▼,"-13.79","-0.54%","79,443","+2,127","-390","-1,881","-2,373","+182","-350","+272","+14","+148","+227","0","+130"
2024/10/31,"2,556.15",▼,"-37.64","-1.45%","109,806","+5,571","-8,583","+3,316","+2,585","+83","-326","+494","-55","+499","+36","0","-304"
2024/10/30,"2,593.79",▼,"-24.01","-0.92%","90,670","+2,711","-3,357","+419","+468","-133","-462","+446","+8","+80","+11","0","+228"
2024/10/29,"2,617.80",▲,"5.37","+0.21%","93,411","+1,099","-1,177","+178","+326","-74","-101","+9","+7","+253","-242","0","-86"
2024/10/28,"2,612.43",▲,"29.16","+1.13%","91,330","-3,356","-1,283","+4,662","+3,494","+119","+221","+15","+35","+828","-51","0","+85"
2024/10/25,"2,583.27",▲,"2.24","+0.09%","102,868","+2,973","-3,909","+769","+907","-224","+54","+29","+37","-85","+51","0","+130"
2024/10/24,"2,581.03",▼,"-18.59","-0.72%","97,339","+6,254","-6,074","-535","-143","-171","+24","-59","-50","-203","+68","0","+322"
2024/10/23,"2,599.62",▲,"28.92","+1.12%","94,301","-5,141","+2,116","+2,991","+2,047","-120","+152","+1","+4","+719","+188","0","+35"
2024/10/22,"2,570.70",▼,"-34.22","-1.31%","89,580","+5,672","-2,814","-3,072","-2,777","-74","-468","-24","-95","+160","+205","0","+209"
2024/10/21,"2,604.92",▲,"11.10","+0.43%","77,572","-2,684","+221","+2,680","+1,972","-115","+30","+432","-11","-310","+682","0","-187"
2024/10/18,"2,593.82",▼,"-15.48","-0.59%","82,748","+3,590","-4,785","+949","+1,406","-95","-160","+138","-8","+357","-690","0","+237"
2024/10/17,"2,609.30",▼,"-1.06","-0.04%","99,536","+1,615","-4,049","+2,007","+1,595","+41","+156","-43","+18","+182","+59","0","+423"
2024/10/16,"2,610.36",▼,"-23.09","-0.88%","100,530","+6,535","-6,597","-401","-1,465","-124","-85","-7","+26","+1,634","-379","0","+440"
2024/10/15,"2,633.45",▲,"10.16","+0.39%","100,543","-3,436","+2,904","+117","-847","+28","+2","-21","-17","+711","+260","0","+441"
2024/10/14,"2,623.29",▲,"26.38","+1.02%","85,254","-4,562","+915","+3,281","+2,476","+9","-92","-32","-31","+897","+54","0","+376"
2024/10/11,"2,596.91",▼,"-2.25","-0.09%","95,484","+2,849","-5,991","+2,775","+1,751","+321","-145","+5","-25","+712","+157","0","+339"
2024/10/10,"2,599.16",▲,"4.80","+0.19%","138,675","+1,477","+1,626","-2,955","-4,394","+110","+238","-20","-14","+1,184","-59","0","-128"
2024/10/08,"2,594.36",▼,"-16.02","-0.61%","91,682","+6,978","-3,810","-3,498","-3,243","-41","-176","-42","-16","+47","-27","0","+286"
2024/10/07,"2,610.38",▲,"40.67","+1.58%","103,789","-1,462","+292","+856","-638","+112","+253","+33","-15","+869","+242","0","+316"
2024/10/04,"2,569.71",▲,"8.02","+0.31%","100,165","+672","+428","-2,173","-1,695","+50","-77","-5","-22","-652","+228","0","+1,068"
2024/10/02,"2,561.69",▼,"-31.58","-1.22%","96,078","+9,868","-3,074","-7,059","-6,226","-38","-327","-9","-13","-212","-234","0","+239"
2024/09/30,"2,593.27",▼,"-56.51","-2.13%","108,068","+11,892","-10,032","-2,135","-1,718","-66","+41","-45","+9","-234","-122","0","+244"
2024/09/27,"2,649.78",▼,"-21.79","-0.82%","119,870","+1,776","+2,659","-4,312","-4,220","+41","+32","-33","+18","+21","-171","0","-118"
2024/09/26,"2,671.57",▲,"75.25","+2.90%","116,024","-12,634","+4,953","+8,021","+6,989","+56","+520","-48","+39","+43","+422","0","-294"
2024/09/25,"2,596.32",▼,"-35.36","-1.34%","116,714","+348","-5,701","+5,496","+7,073","-140","-814","-52","+20","-463","-128","0","-124"
2024/09/24,"2,631.68",▲,"29.67","+1.14%","103,383","-2,101","-3,773","+5,721","+5,521","+13","+2","-11","-3","+65","+134","0","+169"
2024/09/23,"2,602.01",▲,"8.64","+0.33%","95,264","+3,713","-7,023","+3,443","+2,808","-9","+99","-45","-15","+281","+323","0","-137"
2024/09/20,"2,593.37",▲,"12.57","+0.49%","142,765","-2,444","-337","+2,728","+2,343","-203","+280","-8","+25","+140","+151","0","+42"
2024/09/19,"2,580.80",▲,"5.39","+0.21%","128,710","+2,641","-11,756","+8,791","+8,877","-21","-12","-131","-3","+107","-26","0","+278"
2024/09/13,"2,575.41",▲,"3.32","+0.13%","84,220","+4,037","-9,577","+4,366","+2,758","-58","+369","-30","-26","+710","+642","0","+1,194"
2024/09/12,"2,572.09",▲,"58.72","+2.34%","112,823","-2,424","+2,782","+256","-1,669","+537","+1,436","-46","-74","-438","+510","0","-616"
2024/09/11,"2,513.37",▼,"-10.06","-0.40%","96,230","+8,907","-10,351","+425","+801","-153","-395","-18","+4","+193","-6","0","+952"
2024/09/10,"2,523.43",▼,"-12.50","-0.49%","84,218","+6,851","-6,708","-600","-1,030","-57","+119","+17","-47","+371","+28","0","+403"
2024/09/09,"2,535.93",▼,"-8.35","-0.33%","74,543","+4,694","-5,422","+452","-86","+128","+144","-74","+25","+357","-42","0","+257"
2024/09/06,"2,544.28",▼,"-31.22","-1.21%","86,853","+1,708","-2,661","+829","+1,265","-11","-292","-57","-4","+9","-81","0","+112"
2024/09/05,"2,575.50",▼,"-5.30","-0.21%","101,897","+4,652","-5,858","+1,203","+560","+38","-29","-6","-91","+524","+208","0","+43"
